Order Date,Region,State,Segment,Category,Sub-Category,Quantity,Sales,Profit,Discount
2023-01-17,West,Arizona,Consumer,Office Supplies,Labels,5,138.2,12.01,0.1
2023-01-17,East,New York,Corporate,Office Supplies,Art,5,138.84,35.53,0.0
2023-01-17,East,New York,Consumer,Technology,Machines,7,2122.52,-264.16,0.0
2023-01-17,West,Washington,Consumer,Furniture,Bookcases,4,1116.59,-275.82,0.0
2023-01-17,Central,Ohio,Corporate,Furniture,Furnishings,6,1978.29,494.54,0.1
2023-01-17,East,Pennsylvania,Corporate,Office Supplies,Labels,2,97.96,26.9,0.1
2023-01-17,Central,Illinois,Consumer,Office Supplies,Art,2,53.2,18.13,0.0
2023-01-18,South,North Carolina,Consumer,Furniture,Furnishings,5,1361.36,233.54,0.0
2023-01-18,South,Alabama,Consumer,Office Supplies,Labels,6,192.13,22.25,0.15
2023-01-18,Central,Wisconsin,Consumer,Furniture,Bookcases,2,369.5,8.69,0.15
2023-01-19,West,Arizona,Consumer,Furniture,Chairs,1,301.52,48.89,0.1
2023-01-19,East,Pennsylvania,Home Office,Office Supplies,Supplies,6,286.88,24.0,0.2
2023-01-19,West,Washington,Home Office,Furniture,Tables,1,290.49,-27.51,0.0
2023-01-19,East,Virginia,Consumer,Office Supplies,Art,7,332.45,82.62,0.0
2023-01-19,South,Alabama,Home Office,Office Supplies,Labels,1,48.97,3.26,0.1
2023-01-20,Central,Wisconsin,Home Office,Office Supplies,Labels,2,93.09,27.51,0.4
2023-01-20,South,Florida,Consumer,Office Supplies,Labels,1,40.68,8.41,0.0
2023-01-20,South,Florida,Consumer,Technology,Machines,3,1037.29,102.73,0.0
2023-01-21,Central,Ohio,Consumer,Office Supplies,Labels,2,65.11,8.69,0.0
2023-01-21,South,Florida,Corporate,Technology,Machines,7,3869.9,363.39,0.0
2023-01-21,Central,Ohio,Consumer,Office Supplies,Envelopes,2,67.83,18.42,0.15
2023-01-22,East,New York,Consumer,Technology,Accessories,7,3141.13,651.98,0.2
2023-01-22,South,Georgia,Corporate,Office Supplies,Paper,2,89.47,21.42,0.15
2023-01-22,Central,Illinois,Consumer,Office Supplies,Supplies,1,40.89,7.72,0.0
2023-01-22,Central,Texas,Consumer,Furniture,Tables,3,764.26,37.56,0.1
2023-01-23,West,Arizona,Home Office,Office Supplies,Storage,7,250.48,44.78,0.2
2023-01-23,Central,Texas,Home Office,Office Supplies,Envelopes,1,31.76,3.11,0.0
2023-01-23,West,California,Corporate,Technology,Machines,7,2001.27,-281.97,0.3
2023-01-23,Central,Michigan,Home Office,Furniture,Tables,1,203.1,-39.2,0.15
2023-01-23,South,Tennessee,Corporate,Office Supplies,Labels,3,82.88,23.19,0.3
2023-01-24,Central,Wisconsin,Consumer,Furniture,Chairs,7,1612.71,97.85,0.0
2023-01-24,West,Oregon,Consumer,Office Supplies,Labels,1,41.68,12.97,0.1
2023-01-25,South,Alabama,Consumer,Office Supplies,Storage,5,167.52,11.8,0.0
2023-01-25,Central,Illinois,Consumer,Office Supplies,Storage,6,251.27,16.34,0.0
2023-01-25,West,California,Consumer,Office Supplies,Storage,3,122.91,42.95,0.0
2023-01-25,West,Nevada,Home Office,Technology,Copiers,3,1216.52,283.73,0.0
2023-01-25,Central,Illinois,Corporate,Office Supplies,Art,5,193.99,32.4,0.0
2023-01-26,South,North Carolina,Home Office,Technology,Copiers,1,287.61,20.01,0.0
2023-01-26,West,Arizona,Consumer,Office Supplies,Labels,1,38.75,5.7,0.0
2023-01-26,West,Arizona,Consumer,Office Supplies,Paper,7,271.92,57.76,0.0
2023-01-26,South,North Carolina,Consumer,Technology,Phones,7,3657.73,1151.61,0.0
2023-01-27,Central,Texas,Corporate,Office Supplies,Paper,1,31.79,10.49,0.4
2023-01-27,Central,Michigan,Consumer,Office Supplies,Supplies,2,60.32,18.55,0.0
2023-01-27,East,New Jersey,Corporate,Office Supplies,Art,6,273.17,39.04,0.4
2023-01-28,West,Nevada,Consumer,Office Supplies,Art,5,154.06,24.63,0.0
2023-01-28,West,California,Consumer,Office Supplies,Supplies,2,75.58,21.73,0.0
2023-01-28,South,Georgia,Consumer,Technology,Phones,4,1328.96,422.3,0.0
2023-01-28,West,Arizona,Consumer,Office Supplies,Storage,1,26.79,4.55,0.0
2023-01-29,East,Pennsylvania,Corporate,Office Supplies,Envelopes,1,35.06,3.21,0.4
2023-01-29,West,California,Consumer,Office Supplies,Labels,3,88.48,11.34,0.0
2023-01-29,South,Florida,Consumer,Office Supplies,Binders,6,165.32,50.8,0.2
2023-01-29,Central,Illinois,Consumer,Furniture,Furnishings,2,677.47,80.11,0.0
2023-01-30,East,New York,Consumer,Office Supplies,Paper,2,92.09,18.08,0.1
2023-01-30,East,New Jersey,Corporate,Furniture,Bookcases,2,670.55,18.07,0.0
2023-01-30,Central,Texas,Home Office,Office Supplies,Binders,2,70.81,9.32,0.2
2023-01-30,West,Nevada,Home Office,Office Supplies,Supplies,1,47.65,11.23,0.15
2023-01-31,South,Georgia,Corporate,Office Supplies,Supplies,2,83.91,13.46,0.0
2023-01-31,West,Nevada,Corporate,Technology,Phones,3,1202.11,191.88,0.0
2023-01-31,West,Oregon,Corporate,Office Supplies,Envelopes,5,241.06,76.4,0.1
2023-01-31,South,Alabama,Home Office,Office Supplies,Paper,7,275.49,27.74,0.2
2023-01-31,West,Oregon,Corporate,Furniture,Tables,6,2056.63,-500.93,0.15
2023-01-31,West,Washington,Consumer,Furniture,Tables,3,1035.49,-30.32,0.0
2023-01-31,East,Pennsylvania,Consumer,Technology,Accessories,6,2849.57,963.53,0.0
2023-01-31,Central,Ohio,Corporate,Office Supplies,Labels,4,190.79,38.31,0.0
2023-01-31,East,Virginia,Consumer,Technology,Copiers,7,3726.9,766.36,0.1
2023-02-01,East,Virginia,Home Office,Technology,Copiers,4,1381.51,110.74,0.0
2023-02-01,East,Virginia,Consumer,Technology,Copiers,2,733.15,153.56,0.0
2023-02-01,South,Florida,Consumer,Office Supplies,Binders,1,28.89,4.11,0.0
2023-02-02,East,Pennsylvania,Consumer,Office Supplies,Supplies,2,88.67,29.72,0.0
2023-02-03,East,Massachusetts,Consumer,Furniture,Bookcases,1,311.67,-43.63,0.4
2023-02-03,East,Massachusetts,Corporate,Office Supplies,Supplies,4,163.33,37.83,0.0
2023-02-03,South,Georgia,Consumer,Technology,Phones,3,1005.13,337.99,0.1
2023-02-04,Central,Michigan,Home Office,Office Supplies,Labels,5,186.61,60.42,0.2
2023-02-04,Central,Michigan,Corporate,Office Supplies,Supplies,7,265.97,70.62,0.0
2023-02-04,Central,Michigan,Corporate,Office Supplies,Supplies,1,45.82,4.2,0.0
2023-02-04,West,Oregon,Consumer,Furniture,Furnishings,6,1454.36,445.68,0.3
2023-02-05,East,Massachusetts,Home Office,Furniture,Furnishings,1,275.55,56.33,0.0
2023-02-05,East,Pennsylvania,Consumer,Office Supplies,Paper,2,93.62,31.61,0.15
2023-02-06,South,Florida,Home Office,Office Supplies,Envelopes,6,170.59,34.68,0.0
2023-02-06,East,New York,Home Office,Office Supplies,Labels,5,184.71,55.75,0.2
2023-02-06,South,Florida,Corporate,Office Supplies,Art,2,73.18,13.62,0.0
2023-02-07,West,Washington,Consumer,Technology,Copiers,5,1533.13,188.13,0.0
2023-02-07,East,Virginia,Consumer,Office Supplies,Storage,1,47.03,5.18,0.15
2023-02-08,East,Virginia,Consumer,Office Supplies,Supplies,1,35.01,2.54,0.0
2023-02-08,Central,Michigan,Home Office,Furniture,Tables,3,781.52,-53.95,0.0
2023-02-08,Central,Ohio,Corporate,Office Supplies,Paper,2,68.01,11.07,0.1
2023-02-08,East,New York,Consumer,Office Supplies,Art,1,44.55,2.9,0.3
2023-02-08,West,Oregon,Corporate,Furniture,Chairs,5,982.44,215.73,0.0
2023-02-09,South,North Carolina,Consumer,Office Supplies,Art,6,172.79,50.43,0.2
2023-02-09,South,Florida,Home Office,Office Supplies,Labels,5,216.93,63.19,0.0
2023-02-09,Central,Michigan,Consumer,Office Supplies,Paper,6,230.54,30.52,0.0
2023-02-09,South,Tennessee,Home Office,Technology,Accessories,2,708.57,230.84,0.3
2023-02-10,Central,Michigan,Consumer,Technology,Accessories,7,3888.99,1250.99,0.2
2023-02-10,Central,Michigan,Consumer,Office Supplies,Envelopes,6,233.81,63.47,0.0
2023-02-10,East,New Jersey,Consumer,Office Supplies,Art,5,214.52,20.4,0.15
2023-02-10,South,Tennessee,Home Office,Furniture,Tables,1,215.02,7.93,0.0
2023-02-11,West,Nevada,Corporate,Office Supplies,Supplies,5,133.95,26.16,0.0
2023-02-11,West,Nevada,Home Office,Technology,Accessories,4,1136.83,230.18,0.0
2023-02-11,East,Massachusetts,Home Office,Office Supplies,Art,5,161.72,23.6,0.2
2023-02-11,West,Arizona,Consumer,Office Supplies,Storage,1,25.66,1.69,0.15
2023-02-11,South,Florida,Consumer,Office Supplies,Storage,3,85.6,8.93,0.15
2023-02-11,East,Pennsylvania,Consumer,Office Supplies,Labels,4,171.34,48.86,0.0
2023-02-11,East,New Jersey,Consumer,Office Supplies,Labels,1,35.55,8.22,0.2
2023-02-12,East,Virginia,Home Office,Office Supplies,Binders,4,124.85,14.28,0.0
2023-02-12,South,Georgia,Home Office,Furniture,Chairs,6,1469.06,476.91,0.0
2023-02-12,Central,Texas,Corporate,Office Supplies,Paper,2,72.34,4.7,0.1
2023-02-13,South,Florida,Consumer,Office Supplies,Supplies,5,183.46,41.92,0.2
2023-02-13,West,Nevada,Home Office,Technology,Copiers,3,857.56,100.27,0.0
2023-02-13,South,Florida,Corporate,Technology,Accessories,6,2606.67,220.82,0.0
2023-02-13,East,Massachusetts,Consumer,Technology,Machines,3,1126.31,35.44,0.1
2023-02-13,East,Massachusetts,Home Office,Office Supplies,Paper,1,28.97,6.81,0.0
2023-02-13,East,Virginia,Home Office,Technology,Machines,7,3128.48,229.43,0.0
2023-02-14,West,Arizona,Home Office,Furniture,Tables,5,1665.48,-364.22,0.4
2023-02-15,West,Nevada,Home Office,Furniture,Furnishings,6,1924.39,483.98,0.0
2023-02-15,Central,Michigan,Consumer,Office Supplies,Art,3,102.19,25.18,0.0
2023-02-15,South,Florida,Consumer,Office Supplies,Binders,2,74.8,10.55,0.0
2023-02-15,South,Florida,Consumer,Office Supplies,Labels,6,244.43,74.14,0.15
2023-02-15,Central,Texas,Home Office,Office Supplies,Storage,6,268.15,71.62,0.2
2023-02-16,West,Oregon,Consumer,Furniture,Furnishings,2,643.49,144.86,0.0
2023-02-16,South,Alabama,Home Office,Technology,Accessories,3,1639.18,156.28,0.0
2023-02-16,East,Pennsylvania,Consumer,Office Supplies,Binders,1,41.35,8.41,0.0
2023-02-17,East,New Jersey,Home Office,Furniture,Chairs,5,1204.59,61.85,0.1
2023-02-17,West,Oregon,Consumer,Office Supplies,Storage,2,92.22,14.33,0.1
2023-02-17,Central,Illinois,Corporate,Office Supplies,Storage,3,137.33,22.49,0.0
2023-02-18,West,Washington,Home Office,Office Supplies,Art,6,186.57,43.3,0.0
2023-02-18,East,Massachusetts,Consumer,Office Supplies,Binders,3,74.91,24.55,0.15
2023-02-18,East,New York,Consumer,Office Supplies,Labels,4,141.53,14.59,0.1
2023-02-18,South,North Carolina,Home Office,Furniture,Chairs,3,814.8,92.36,0.0
2023-02-18,East,Virginia,Consumer,Office Supplies,Supplies,3,93.46,8.79,0.0
2023-02-18,East,Virginia,Consumer,Office Supplies,Labels,4,102.54,9.76,0.0
2023-02-19,Central,Wisconsin,Consumer,Furniture,Bookcases,1,294.95,-44.32,0.0
2023-02-19,East,New York,Consumer,Office Supplies,Art,6,277.3,17.79,0.4
2023-02-19,South,Alabama,Consumer,Technology,Accessories,7,3160.94,371.96,0.3
2023-02-20,East,Virginia,Corporate,Office Supplies,Art,5,211.02,42.58,0.0
2023-02-20,East,Massachusetts,Corporate,Technology,Accessories,1,415.25,104.17,0.2
2023-02-20,West,Arizona,Corporate,Furniture,Chairs,7,2430.42,453.21,0.0
2023-02-20,West,Nevada,Consumer,Technology,Machines,1,335.59,-6.14,0.0
2023-02-20,Central,Wisconsin,Consumer,Furniture,Furnishings,5,1196.74,95.96,0.0
2023-02-20,South,Alabama,Corporate,Technology,Phones,7,2346.42,454.63,0.0
2023-02-21,East,New Jersey,Consumer,Technology,Machines,3,1090.42,-102.73,0.0
2023-02-21,East,Pennsylvania,Corporate,Office Supplies,Supplies,1,44.79,5.14,0.2
2023-02-21,West,Nevada,Consumer,Technology,Accessories,4,1532.81,224.02,0.0
2023-02-21,South,Tennessee,Home Office,Furniture,Furnishings,5,1292.52,127.07,0.0
2023-02-22,West,Nevada,Consumer,Office Supplies,Envelopes,4,143.45,11.63,0.0
2023-02-22,East,New York,Consumer,Office Supplies,Supplies,7,184.4,51.02,0.0
2023-02-22,South,Alabama,Corporate,Technology,Accessories,2,699.17,163.59,0.0
2023-02-23,East,Pennsylvania,Corporate,Office Supplies,Supplies,3,87.12,20.03,0.2
2023-02-23,West,Washington,Consumer,Furniture,Bookcases,1,199.96,-1.26,0.2
2023-02-23,East,Pennsylvania,Consumer,Technology,Phones,3,946.73,195.66,0.15
2023-02-23,West,Arizona,Consumer,Furniture,Chairs,2,672.53,141.89,0.1
2023-02-23,East,Pennsylvania,Corporate,Furniture,Tables,6,1509.61,52.88,0.15
2023-02-24,West,Nevada,Home Office,Office Supplies,Paper,2,71.38,10.62,0.0
2023-02-24,West,Oregon,Home Office,Office Supplies,Art,4,180.3,55.91,0.0
2023-02-24,East,New Jersey,Consumer,Furniture,Furnishings,1,286.94,17.34,0.1
2023-02-24,East,Pennsylvania,Corporate,Office Supplies,Labels,6,190.62,57.68,0.0
2023-02-24,West,Oregon,Corporate,Office Supplies,Supplies,4,129.01,9.82,0.0
2023-02-25,South,North Carolina,Consumer,Office Supplies,Art,7,325.06,32.11,0.4
2023-02-25,West,California,Consumer,Office Supplies,Envelopes,2,63.45,20.41,0.0
2023-02-26,Central,Wisconsin,Consumer,Furniture,Tables,7,2076.96,-246.06,0.1
2023-02-26,East,Pennsylvania,Consumer,Furniture,Furnishings,5,1682.89,315.03,0.2
2023-02-26,Central,Texas,Consumer,Office Supplies,Labels,3,118.43,19.1,0.15
2023-02-26,South,Florida,Home Office,Technology,Machines,3,1653.47,-159.92,0.0
2023-02-27,East,New Jersey,Consumer,Office Supplies,Paper,5,165.35,23.81,0.1
2023-02-27,Central,Wisconsin,Corporate,Technology,Machines,6,2244.09,174.32,0.15
2023-02-27,South,Florida,Consumer,Office Supplies,Storage,1,44.88,7.92,0.2
2023-02-27,South,Georgia,Consumer,Furniture,Bookcases,1,217.83,3.15,0.0
2023-02-28,Central,Michigan,Consumer,Office Supplies,Supplies,4,169.96,27.42,0.15
2023-03-01,Central,Ohio,Home Office,Office Supplies,Paper,2,70.36,6.3,0.0
2023-03-01,West,Washington,Corporate,Office Supplies,Paper,5,215.4,49.93,0.1
2023-03-02,East,Virginia,Consumer,Office Supplies,Storage,6,286.84,30.82,0.2
2023-03-02,West,California,Consumer,Office Supplies,Art,5,133.45,23.39,0.2
2023-03-02,East,New York,Consumer,Technology,Accessories,1,472.78,34.13,0.0
2023-03-02,Central,Michigan,Consumer,Office Supplies,Envelopes,7,198.37,42.1,0.0
2023-03-02,South,North Carolina,Corporate,Furniture,Bookcases,4,1245.06,21.17,0.3
2023-03-03,West,Arizona,Corporate,Technology,Copiers,6,2563.61,178.2,0.0
2023-03-03,East,Massachusetts,Home Office,Office Supplies,Art,1,48.82,16.49,0.0
2023-03-03,Central,Texas,Home Office,Office Supplies,Labels,4,178.99,26.14,0.2
2023-03-04,East,Pennsylvania,Corporate,Office Supplies,Binders,4,155.56,15.3,0.0
2023-03-04,South,Florida,Corporate,Technology,Accessories,7,1990.01,565.5,0.0
2023-03-04,East,Massachusetts,Consumer,Office Supplies,Labels,5,231.11,42.74,0.0
2023-03-04,East,New York,Home Office,Office Supplies,Binders,4,102.17,34.82,0.15
2023-03-04,South,Tennessee,Consumer,Office Supplies,Binders,2,90.66,29.89,0.1
2023-03-04,West,Arizona,Consumer,Furniture,Chairs,6,1093.94,299.55,0.0
2023-03-04,West,Nevada,Consumer,Furniture,Furnishings,5,1229.19,166.2,0.0
2023-03-04,South,Florida,Corporate,Office Supplies,Labels,7,203.21,12.24,0.0
2023-03-04,South,North Carolina,Consumer,Technology,Copiers,6,2084.93,415.43,0.3
2023-03-05,Central,Texas,Consumer,Furniture,Tables,7,1959.15,-384.37,0.15
2023-03-05,Central,Texas,Home Office,Furniture,Bookcases,5,1221.56,-89.68,0.0
2023-03-05,Central,Illinois,Consumer,Office Supplies,Binders,4,105.59,24.27,0.0
2023-03-05,Central,Wisconsin,Home Office,Office Supplies,Labels,5,234.83,61.53,0.15
2023-03-06,South,Tennessee,Consumer,Office Supplies,Labels,4,189.61,61.2,0.2
2023-03-06,West,Nevada,Consumer,Office Supplies,Paper,5,123.98,15.17,0.4
2023-03-06,South,North Carolina,Consumer,Office Supplies,Labels,5,244.94,19.56,0.0
2023-03-06,East,Virginia,Corporate,Furniture,Bookcases,2,388.45,15.83,0.0
2023-03-06,West,Nevada,Corporate,Technology,Copiers,1,348.88,73.13,0.0
2023-03-06,East,Massachusetts,Corporate,Office Supplies,Labels,2,66.59,22.44,0.4
2023-03-06,South,Florida,Corporate,Office Supplies,Envelopes,1,32.25,10.96,0.0
2023-03-06,South,Georgia,Consumer,Furniture,Chairs,7,1612.02,433.27,0.2
2023-03-06,South,Florida,Corporate,Technology,Machines,3,1442.28,-180.33,0.0
2023-03-06,West,Nevada,Consumer,Office Supplies,Envelopes,4,176.86,57.59,0.2
2023-03-07,East,New Jersey,Consumer,Technology,Phones,2,1057.46,216.17,0.15
2023-03-07,Central,Texas,Consumer,Technology,Accessories,4,2145.68,338.88,0.0
2023-03-07,East,Virginia,Corporate,Furniture,Chairs,5,1289.81,313.93,0.3
2023-03-07,Central,Ohio,Corporate,Technology,Machines,5,1560.05,54.72,0.15
2023-03-07,Central,Texas,Consumer,Office Supplies,Envelopes,3,124.21,38.62,0.15
2023-03-08,East,New Jersey,Home Office,Office Supplies,Art,2,64.31,6.58,0.1
2023-03-08,East,New Jersey,Consumer,Furniture,Bookcases,6,1635.08,-307.31,0.1
2023-03-09,South,Georgia,Consumer,Furniture,Bookcases,6,1657.22,-65.98,0.1
2023-03-09,Central,Texas,Consumer,Furniture,Chairs,7,1535.05,284.1,0.3
2023-03-09,Central,Ohio,Home Office,Office Supplies,Binders,4,161.94,40.0,0.2
2023-03-10,West,Washington,Home Office,Office Supplies,Supplies,2,85.5,20.52,0.1
2023-03-10,East,New York,Corporate,Furniture,Bookcases,7,2036.65,-15.65,0.2
2023-03-10,East,Pennsylvania,Home Office,Furniture,Chairs,7,2302.93,432.96,0.1
2023-03-10,East,Virginia,Consumer,Furniture,Chairs,7,1274.89,390.93,0.15
2023-03-10,East,Virginia,Consumer,Office Supplies,Binders,6,181.58,39.65,0.0
2023-03-11,East,Pennsylvania,Consumer,Furniture,Tables,6,1402.18,50.03,0.0
2023-03-11,West,California,Consumer,Technology,Accessories,3,967.55,61.95,0.0
2023-03-11,East,New York,Corporate,Office Supplies,Labels,1,26.5,2.02,0.0
2023-03-11,South,Florida,Corporate,Technology,Phones,3,1676.92,269.13,0.0
2023-03-11,West,Washington,Consumer,Furniture,Chairs,2,399.75,96.71,0.0
2023-03-12,Central,Ohio,Consumer,Furniture,Tables,2,695.41,-16.43,0.0
2023-03-12,South,Tennessee,Consumer,Technology,Phones,1,451.17,46.72,0.0
2023-03-12,South,Tennessee,Consumer,Furniture,Chairs,1,315.06,78.89,0.0
2023-03-13,West,Arizona,Home Office,Office Supplies,Labels,3,86.25,14.14,0.2
2023-03-13,West,California,Corporate,Office Supplies,Supplies,2,50.41,3.49,0.0
2023-03-15,Central,Texas,Consumer,Office Supplies,Storage,4,110.58,18.2,0.1
2023-03-16,West,Nevada,Home Office,Office Supplies,Labels,7,183.83,59.32,0.3
2023-03-17,East,New York,Home Office,Technology,Accessories,7,2865.21,499.56,0.0
2023-03-17,West,Arizona,Consumer,Office Supplies,Envelopes,4,136.97,46.86,0.0
2023-03-17,East,Pennsylvania,Home Office,Technology,Copiers,3,1011.03,135.76,0.1
2023-03-17,West,Nevada,Corporate,Furniture,Furnishings,4,748.25,231.47,0.0
2023-03-17,East,New York,Consumer,Office Supplies,Envelopes,2,68.16,15.12,0.4
2023-03-17,West,Oregon,Corporate,Office Supplies,Binders,6,189.77,42.89,0.1
2023-03-17,South,Alabama,Consumer,Office Supplies,Storage,5,170.96,32.99,0.0
2023-03-18,Central,Ohio,Corporate,Furniture,Chairs,6,1838.72,264.13,0.15
2023-03-18,Central,Illinois,Home Office,Technology,Phones,5,2689.75,381.53,0.0
2023-03-18,South,North Carolina,Consumer,Furniture,Chairs,2,462.2,36.08,0.0
2023-03-18,East,New York,Corporate,Office Supplies,Envelopes,6,262.26,62.09,0.0
2023-03-18,East,New York,Corporate,Technology,Phones,7,3567.04,291.82,0.0
2023-03-18,South,Florida,Corporate,Office Supplies,Binders,5,163.52,53.29,0.1
2023-03-18,East,Massachusetts,Home Office,Office Supplies,Supplies,7,287.17,14.66,0.0
2023-03-18,Central,Wisconsin,Consumer,Technology,Machines,3,1013.71,45.49,0.2
2023-03-18,Central,Texas,Corporate,Furniture,Chairs,1,190.69,48.61,0.4
2023-03-19,West,Oregon,Corporate,Furniture,Tables,6,1771.74,-383.63,0.0
2023-03-20,West,Arizona,Consumer,Office Supplies,Binders,4,149.7,15.19,0.0
2023-03-20,East,Pennsylvania,Home Office,Office Supplies,Envelopes,1,26.43,2.84,0.0
2023-03-21,West,Oregon,Home Office,Office Supplies,Labels,7,329.62,35.77,0.4
2023-03-21,South,Alabama,Home Office,Office Supplies,Art,7,312.24,101.3,0.0
2023-03-21,West,Washington,Home Office,Office Supplies,Art,2,79.49,15.0,0.3
2023-03-21,West,Washington,Corporate,Technology,Machines,5,2673.34,-72.28,0.0
2023-03-21,Central,Illinois,Consumer,Office Supplies,Art,1,27.0,8.66,0.1
2023-03-22,South,Alabama,Consumer,Office Supplies,Storage,4,107.94,28.08,0.0
2023-03-22,East,New York,Consumer,Office Supplies,Envelopes,5,225.87,73.68,0.0
2023-03-22,West,Washington,Consumer,Office Supplies,Labels,3,79.03,5.02,0.0
2023-03-22,East,Pennsylvania,Consumer,Office Supplies,Supplies,3,78.81,21.53,0.15
2023-03-22,West,Washington,Consumer,Furniture,Bookcases,7,1674.23,-191.49,0.0
2023-03-23,Central,Michigan,Consumer,Office Supplies,Labels,2,58.11,7.35,0.0
2023-03-23,East,New York,Home Office,Furniture,Chairs,6,1251.71,360.53,0.0
2023-03-23,Central,Ohio,Consumer,Office Supplies,Binders,5,140.96,18.84,0.0
2023-03-23,Central,Illinois,Consumer,Office Supplies,Labels,6,195.37,15.33,0.4
2023-03-24,Central,Ohio,Consumer,Furniture,Tables,2,352.61,-43.44,0.15
2023-03-24,East,Virginia,Consumer,Furniture,Furnishings,2,686.61,127.31,0.1
